575.536682129, 376.288146973, 0
522.940673828, 399.327270508, 0
251.656524658, 414.924987793, 1
248.958602905, 415.477600098, 1
560.740112305, 355.366516113, 0
520.346801758, 400.187896729, 1
582.046447754, 388.48815918, 0
600.11541748, 317.927124023, 0
194.813461304, 19.5935993195, 0
31.8116321564, 460.828857422, 1
31.6443138123, 460.738586426, 1
469.484863281, 21.1800193787, 2
133.556045532, 37.5013237, 2
475.160339355, 52.9081802368, 2
33.9493408203, 444.898193359, 0
49.512046814, 421.670318604, 1
473.171936035, 34.0353851318, 2
42.0082244873, 384.04309082, 0
56.9428329468, 301.783966064, 0
44.1111602783, 427.146942139, 1
57.4990539551, 344.018798828, 1
98.2968292236, 97.195930481, 1
127.66733551, 48.7275352478, 2
114.344535828, 72.4182434082, 1
104.476211548, 123.829483032, 1
241.396606445, 125.602653503, 0
51.1041221619, 273.03024292, 0
605.389770508, 90.3836746216, 0
50.0504760742, 273.247589111, 0
595.544311523, 165.398422241, 0
41.1911621094, 351.652893066, 1
237.837188721, 145.374221802, 0
581.448242188, 197.603591919, 0
85.2712402344, 120.016403198, 1
61.6567764282, 314.492095947, 0
253.364456177, 100.883972168, 0
584.261047363, 249.090621948, 0
43.6114234924, 242.790008545, 0
233.77722168, 179.425079346, 0
591.130004883, 283.40057373, 0
38.2946548462, 399.281097412, 0
565.247497559, 311.474212646, 0
247.268722534, 268.253845215, 0
604.024108887, 89.8899307251, 1
607.743286133, 386.508880615, 0
98.7600402832, 152.798431396, 1
601.078491211, 122.228393555, 0
32.3479995728, 441.162261963, 0
67.6022491455, 92.6595993042, 0
238.049530029, 244.862823486, 0
605.390869141, 57.657913208, 1
519.610900879, 162.695831299, 17
186.447677612, 191.318008423, 16
234.351501465, 264.378723145, 0
252.425170898, 100.756637573, 0
266.643829346, 50.2407836914, 2
587.68951416, 153.198791504, 0
583.087097168, 186.772888184, 0
238.318969727, 138.053939819, 0
232.171829224, 169.950973511, 0
582.998901367, 285.855926514, 0
45.4110031128, 254.771850586, 0
61.2857055664, 142.650848389, 0
234.970031738, 288.046173096, 0
592.43737793, 251.365966797, 0
603.86114502, 89.5943222046, 0
601.022949219, 121.615509033, 0
255.980712891, 20.9547271729, 2
64.0905761719, 161.925811768, 0
264.945404053, 49.4354476929, 2
255.848327637, 20.2039451599, 2
592.794677734, 378.327636719, 0
556.35534668, 351.043121338, 0
575.423278809, 366.722351074, 0
251.356750488, 416.287200928, 1
